Type_of_well,Well_Depth,Lattitude,Longitude,pH,Eh,Cond,Temp,DO,DOC,HCO3,Cl,NO3,SO4,PO4,NH4,Al,B,Ba,Ca,Fe,K,Mg,Mn,Na,P,S,Si,SiO2,Sr,Zn,Cd,Cr,Cu,Mo,Ni,Pb,As
Shallow,25.8,23.53375,90.71564,6.92,-9,720,29,0.2,6.73,336.72,45.7247,0.4073,0.14,0,2.76,18.4,0.04,0.16,78.89,14.26,5.91,22.36,0.77,34.31,1372.15,0.39,15.56,33.29,0.29,60.72,0,0.6638,2.3976,0,4.7736,3.4064,91.2
Shallow,90.9,23.51178,90.73318,7.13,-57,850,29.8,0,5.76,278.16,139.2586,5.9103,0.08,0,8.44,17.24,0.11,0.26,57.16,4.64,5.65,20.24,0.13,92.06,608.8,0.42,11.32,24.21,0.3,23.9,0,0.8751,5.6305,2.659,3.0866,0,102.7
Deep,227.3,23.5341,90.75359,7.58,-23,658,31.1,0.2,3.37,263.52,86.0932,0.2775,0.09,0,1.52,44.94,0.12,0.09,35.19,1.76,6.63,15.49,0.06,78.13,352.74,0.31,23.04,49.28,0.19,41.71,0,0.8017,8.5854,0,2.6782,0,2.6
Shallow,90.9,23.53733,90.81404,7.04,-6,861,30.3,0,3.8,263.52,156.9472,0.4579,0.13,0,0,17.56,0.07,0.1,61.98,0.6,2.83,22.15,1.53,103.41,200.41,0.42,17.94,38.38,0.3,22.46,0,0.9841,2.2572,0,0,0,2.6
Shallow,60.6,23.50765,90.75583,7.65,-12,493,29.5,1,7.79,248.88,13.837,0.3603,0.05,0,4.83,19.43,0.03,0.07,45.36,8.64,7.63,21.69,0.16,8.93,2007.82,0.57,21.27,45.5,0.18,77.39,0,0.9491,1.9043,0,3.4959,0,40.7
Shallow,24.2,23.51132,90.75465,6.96,-33,561,29.4,0,5.18,263.52,38.0893,0.7297,2.33,0,1.73,15.21,0.02,0.07,46.77,8.45,9.17,26.06,0.33,23.85,1948.01,1.28,19.6,41.94,0.11,81.12,3.5546,0.7782,1.7769,0,0,0,11.4
Shallow,90.9,23.4945,90.74243,6.97,-37,483,30.7,0,3.98,234.24,32.31,0.2693,0.25,0,0,20.91,0.05,0.05,28.51,0.11,1.58,10.37,0.28,58.78,126.95,0.47,13.9,29.73,0.15,24.52,0,0.9458,2.6429,0,0,0,2.6
Deep,181.8,23.49569,90.71839,6.97,-3,820,31.2,0.1,2.51,161.04,186.1412,1.1612,0.12,0,0.08,17.66,0.05,0.13,62.47,4.13,3.57,24.27,0.15,75.61,183.72,0.61,27.79,59.44,0.31,25.33,0,1.1966,1.3602,0,0,0,2.6
Deep,227.3,23.502,90.71881,6.92,-12,729,30.9,0.2,3.25,234.24,130.0092,8.9,0.16,0,0.92,30.74,0.07,0.15,61.68,2.39,8.37,25.57,0.13,55.27,101.07,0.43,23.9,51.12,0.33,33.78,0,0.9489,2.625,0,0,0,2.6
Shallow,18.2,23.52572,90.76503,6.24,-19,875,29.8,0.1,11.24,424.56,91.805,22.3327,0.11,1307.6,9.98,22.46,0.18,0.06,13.95,1.1,9.84,20.52,0.03,156.08,4855.84,0.57,15.2,32.52,0.13,25.25,0,1.2157,2.5797,0,0,0,233.1
Shallow,27.3,23.5255,90.78272,7.04,-23,1790,30.1,0.3,13.85,673.44,316.9385,0.01961,0.08,1402,16.17,24.74,0.36,0.07,22.91,1.68,15.22,36,0.03,428.85,5648.6,0.59,13.36,28.57,0.22,18.09,0,1.3098,4.1573,0,0,0,311.5
Shallow,81.8,23.53013,90.75191,6.5,14,961,30.2,1.4,3.23,307.44,156.0912,0.3022,0.27,0,0,11.96,0.07,0.1,60.71,1.07,2.9,21.18,1.67,101.6,229.31,0.87,17.55,37.53,0.29,39.4,0,2.0817,3.1912,0,3.4541,0,2.6
Deep,181.8,23.53099,90.75333,6.75,-16,1007,31.6,1.4,2.94,219.6,237.1276,0.2682,0.3,0,0.43,22.77,0.09,0.23,94.44,4.11,8.4,33.69,0.11,75.22,139.46,0.54,21.11,45.17,0.43,160.04,0,1.2163,4.3938,0,3.4426,0,2.6
Shallow,24.2,23.53733,90.75251,6.99,-59,1397,29.7,0.2,12.64,688.08,144.9632,0.01649,0.1,489.2,18.35,14.95,0.23,0.08,53.59,3.35,14.08,55.52,0.05,201.94,3000.84,0.85,14.95,31.99,0.35,30.91,0,1.7003,2.1017,0,4.1666,0,315.1
Shallow,75.8,23.49448,90.74239,6.61,-19,546,30.9,0.8,2.28,248.88,33.2119,0.6173,0.32,0,0,24.37,0.06,0.07,28.02,0.39,1.71,10.25,0.26,58.82,139.77,0.67,13.89,29.71,0.15,55.86,0,1.4859,4.6809,0,0,0,2.6
Deep,212.1,23.48744,90.7477,7.31,-7,632,32.9,2,5.55,248.88,77.095,0.4932,1.52,0,0.48,22.16,0.06,0.08,28.13,1.17,6.16,11.68,0.27,82.81,111.94,1.2,17.55,37.54,0.15,485.73,0,1.3096,1.2173,0,2.6051,0,2.6
Shallow,54.5,23.48736,90.74763,6.84,15,619,31.1,0.6,2.54,278.16,54.5369,0.02621,0.15,0,0.11,13.36,0.04,0.08,33.4,0.4,1.56,12.04,0.66,71.69,79.16,0.67,12.42,26.57,0.18,40.55,0,1.5071,2.4509,0,0,0,2.6
Deep,219.7,23.50528,90.72028,6.48,22,672,30.1,4.8,2.17,190.32,97.3086,0.01591,0.17,0,0.34,10.35,0.03,0.13,53.55,2.5,4.9,20.64,0.13,39.57,180.49,0.67,24.17,51.71,0.29,32.3,0,1.3549,2.6254,0,0,0,2.6
Shallow,22.7,23.50518,90.71992,6.95,-53,1149,30.1,5.2,10.84,497.76,174.25,0.7092,0.45,0,11.74,10.23,0.1,0.15,68.21,6.18,8.1,20.07,0.08,173.43,3140.04,0.68,12.74,27.25,0.23,25.73,0,1.4233,2.9973,5.3046,3.5402,0,578.9
Shallow,84.8,23.53941,90.71416,6.8,-43,1089,31.4,4.8,2.02,263.52,229.4092,0.2662,0.09,0,7.77,7.23,0.26,0.21,60.39,8.05,6.33,21.11,0.13,128.44,672.29,0.46,17.4,37.23,0.3,31.72,0,1.0033,2.0061,0,0,0,29.1
Shallow,25.8,23.52644,90.71893,7.03,-41,1026,31.6,5,3.56,248.88,215.6732,0.5822,0.32,0,8.91,13.11,0.26,0.2,58.17,6.7,5.9,21.66,0.2,118.52,314.14,0.95,15.39,32.93,0.29,113.33,0,2.1453,2.3526,0,2.9806,0,19
Deep,248.5,23.5477,90.73378,6.88,-19,1147,32.1,6.5,1.7,278.16,233.5056,0.4062,0.3,0,0.57,8.65,0.23,0.18,58.29,0.95,7.44,24.22,0.05,165.39,110.21,0.33,19.55,41.83,0.28,30.17,0,0.7619,2.415,0,0,0,3
Shallow,86.9,23.48827,91.00803,6.8,14.69897356,865,26.9,0,2.577,322.08,142.36,0.19,4.3,0,0,2.54,0.033,0.017,21.03,0.002,2.74,14.03,0.001,135.39,8,0.37,13.77,29.45,0.05,5.14,0,0,2.2047,0,2.4878,0,2.6
Shallow,75,23.43791,90.906,6.6,13.04474323,975,29,0,2.523,204.96,248.86,0.31,1,1641,0.04,30.18,0.179,0.033,9.46,0.584,3.66,1.56,0.033,222.68,544.65,0.11,16.2,34.65,0.03,42.46,0,0.5369,3.2292,0,0,0,2.6
Shallow,82.3,23.41641,90.90534,7.1,12.22314066,860,28.5,0,3.068,190.32,195.61,0.37,4.2,1630.6,3.74,3.32,0.124,0.06,14.72,0.003,11.89,6.28,0.001,173.41,364.77,0.28,12.56,26.87,0.06,3.78,0,0.8375,0,1.9214,0,0,10.1
Shallow,30.5,23.44384,90.92973,7.1,-49.733772,2360,29.2,0,15.197,453.84,657.82,6.2,6.2,12564.7,0,20.67,0.366,0.068,44.16,1.658,27.45,39.59,0.054,473.6,4177.87,0.34,14.36,30.72,0.24,17.46,0,1.3819,2.9728,0,5.0313,0,265.02
Shallow,41.2,23.4501,90.93681,6.7,1.101906848,211,27.8,0,4.56,102.48,17.75,1.24,0.24,4240.2,0,18.76,0.003,0.085,14.72,4.003,6.4,15.43,0.151,7.92,1442.84,0.23,15.22,32.56,0.11,36.9,0,0,3.8239,0,0,0,73.51
Shallow,85.1,23.3553,90.94737,7.1,0.334447135,817,28.5,0,4.529,453.84,62.13,1.3,1.2,6044.8,0,24.83,0.099,0.066,58.87,3.683,22.87,50.14,0.206,56.88,2032.75,0.32,11.09,23.72,0.27,146.05,0,0.5828,5.2147,0,6.1024,2.3315,166.76
Shallow,19.8,23.36534,90.95436,7.1,-8.600683559,2150,28.6,0,6.981,490.44,493.45,2.05,6.2,6437.4,0,25.72,0.278,0.063,64.13,1.364,22.87,58.53,0.406,360.64,2159.65,0.4,5.27,11.27,0.43,52.55,0,0.8427,1.8359,4.3311,4.17,0,546.78
Shallow,27.4,23.36831,90.9388,7,-15.66630406,766,29.2,0,4.085,417.24,62.13,2.67,1.15,7207.5,0,16.86,0.134,0.058,49.41,2.906,22.87,52.25,0.081,41.71,2408.72,0.09,12.87,27.52,0.29,17.32,0,0.5319,1.2362,0,4.0342,0,221.99
Shallow,79.3,23.38698,90.93124,7.2,11.40520267,816,28.1,0,3.466,219.6,168.98,0.43,1.1,9244.4,0.03,12.78,0.143,0.032,13.67,0.19,4.12,2.1,0.012,183.81,3132.03,0.05,9.59,20.53,0.03,26.3,0,0.537,1.0414,2.9696,0,0,51.97
Shallow,21.3,23.39845,90.9269,7.2,-5.678213428,668,29.4,0,7.183,322.08,73,1.8,0.5,7039.8,0.03,26.05,0.152,0.029,21.03,1.356,11.44,33.55,0.052,82.36,2376.43,0.36,10.28,21.99,0.17,88.52,0,0.497,2.1455,0,2.9254,0,286.28
Shallow,83.8,23.40297,90.93881,6.5,16.36795657,612,29.6,0,1.784,146.4,155.49,0.06,1.22,655.8,0.44,22.62,0.051,0.106,36.8,4.485,5.03,14.79,0.237,73.33,179.65,0.04,19.94,42.65,0.21,40.48,0,0,1.5718,0,0,0,2.6
Shallow,85.1,23.40918,90.94635,6.7,9.780288963,402,28.4,0,2.41,168.36,79.88,0.56,0.27,489.4,0,17.06,0.051,0.084,29.44,1.143,4.12,10.74,0.095,51.11,134.44,0.07,21.64,46.29,0.16,290.68,0,0,0.5947,0,0,0,2.6
Shallow,101.2,23.40135,90.92304,6.6,13.87001824,688,28.1,0,3.184,183,146.62,0.25,4.05,1143,0.03,28.11,0.101,0.057,31.54,0.912,8.23,10.66,0.261,107.49,308.25,0.89,16.34,34.97,0.14,163.64,0,0.4828,1.5468,0,0,0,70.5
Shallow,82.3,23.40716,90.92225,6.6,14.69897356,837,28.1,0,2.563,183,199.87,0.19,3.95,0,0,32.9,0.098,0.078,21.03,2.63,10.06,17.08,0.22,141.65,307.08,0.54,18.48,39.54,0.12,132.1,0,0.7151,8.7356,0,7.611,0,2.6
Shallow,27.4,23.4371,91.04623,6.9,15.53161705,532,26.5,0,3.229,258.16,62.13,0.12,12.45,3803.2,0,23.17,0.038,0.04,31.54,4.217,11.89,38.74,0.319,16.09,1266.83,0.07,12.83,27.45,0.19,35.76,0,0,4.6449,0,7.8965,0,122.5
Shallow,22.9,23.4637,91.0351,7,-13.58239834,979,26.8,0,3.208,336.72,151.23,2.48,4.25,3380.3,0.04,28.25,0.076,0.046,58.87,3.525,22.87,73.32,0.363,32.22,1112.15,1.75,9.2,19.67,0.38,37.13,0,0,4.6026,0,6.606,0,281.21
Shallow,86.9,23.46285,91.02045,6.5,6.574090424,1725,28.2,0,1.82,414.25,422.13,0.81,2.9,636.2,0.3,15.17,0.105,0.058,46.26,1.12,3.66,11.74,0.257,250.56,242.15,1.35,8.65,18.5,0.12,314.97,0,0.5043,8.456,0,7.786,2.7825,6.1
